commit	val_bpb	interpret_score	hoyer	convergence	erank	attn_conc	status	description
baseline	1.3758	0.5484	0.5829	0.4710	0.7141	0.5029	keep	baseline (DEPTH=4 256dim ReLU² TOTAL_BATCH=2^14)
671d1e1	1.3745	0.5356	0.5308	0.4779	0.7226	0.4690	discard	GELU activation (hurts sparsity, marginal val_bpb gain)
6286cf9	1.3809	0.5448	0.5941	0.4614	0.7106	0.4966	discard	8x MLP expansion (both metrics worse)
ce6c413	1.4491	0.5325	0.5843	0.5125	0.6607	0.3925	discard	DEPTH=6 (val_bpb much worse, convergence improved but attn_conc collapsed)
168a9c9	1.3728	0.5457	0.5821	0.4663	0.7153	0.4983	keep	x0_lambdas init 0.5 (val_bpb improved, interpret flat)
98d2252	1.4218	0.5052	0.5771	0.4576	0.6914	0.3424	discard	HEAD_DIM=64 4 heads (both worse, more heads hurt attn_conc)
bb8946c	1.3696	0.5520	0.5866	0.4800	0.7221	0.4916	keep	SL window pattern (both metrics improved!)
176d7d1	1.3697	0.5504	0.5830	0.4815	0.7211	0.4848	discard	SSL window (no improvement over SL)
61321a2	1.4048	0.5366	0.5981	0.4770	0.6760	0.4546	discard	ASPECT_RATIO=80 wider (both worse, underfits in time budget)
f11e9a9	1.3740	0.5358	0.5767	0.4587	0.7136	0.4714	discard	2x MLP expansion (both worse, MLP too narrow)
e3ee20f	1.3767	0.5404	0.5816	0.4615	0.7212	0.4763	discard	WARMUP_RATIO=0.1 (both worse)
3721d0b	1.3756	0.5369	0.5840	0.4621	0.7183	0.4581	discard	VE every layer (both worse, extra params hurt)
ca506d1	1.3952	0.5562	0.5846	0.5130	0.7147	0.4556	keep	DEPTH=6 AR=42 same 256dim (convergence +0.033, best composite!)
d07c07b	1.3935	0.5544	0.5841	0.5126	0.7160	0.4466	discard	SSSL window D6 (flat, no meaningful improvement)
b6f6a41	1.3954	0.5561	0.5976	0.5046	0.7095	0.4641	discard	MATRIX_LR=0.06 (flat, no improvement)
6da7d04	1.4220	0.5768	0.5815	0.5742	0.7236	0.4308	keep	DEPTH=8 AR=32 256dim (convergence +0.061, best composite 0.5768!)
5b6b676	1.4294	0.0000	0.0000	0.0000	0.0000	0.0000	discard	TOTAL_BATCH=2^13 (worse)
a24bf20	1.4303	0.0000	0.0000	0.0000	0.0000	0.0000	discard	WEIGHT_DECAY=0 (worse)
0c03049	1.5598	0.0000	0.0000	0.0000	0.0000	0.0000	discard	No VE (terrible)
73decdc	1.4269	0.0000	0.0000	0.0000	0.0000	0.0000	discard	WARMDOWN=0.3 (worse)
fec4518	1.4492	0.5494	0.5573	0.5221	0.6871	0.4585	discard	Gated MLP (both worse)
f8143b4	1.4228	0.0000	0.0000	0.0000	0.0000	0.0000	discard	EMBEDDING_LR=1.0 (flat)
e41b640	1.5082	0.6118	0.5932	0.6715	0.7158	0.4070	discard	DEPTH=12 (val_bpb too bad)
a1276a0	1.4669	0.5676	0.5881	0.5530	0.7005	0.4435	discard	DEPTH=10 (both worse)
ab6497a	1.4232	0.5728	0.5847	0.5686	0.7183	0.4240	discard	All-S window (flat)
1adde9b	1.4360	0.4637	0.5946	0.4085	0.6176	0.2894	discard	No QK norm (terrible)
8d3ccc1	1.4296	0.5595	0.5902	0.5275	0.6926	0.4596	discard	resid_lambdas=0.8 (worse)
139095c	1.4260	0.5737	0.5780	0.5693	0.7222	0.4301	discard	x0_lambdas=1.0 (slightly worse)
b1cfac7	1.4355	0.0000	0.0000	0.0000	0.0000	0.0000	discard	ADAM_BETAS=(0.9,0.95) (worse)
d826508	1.4188	0.5764	0.5805	0.5731	0.7248	0.4304	keep	FINAL_LR_FRAC=0.1 (val_bpb improved, interpret flat)
cf647f4	1.4274	0.0000	0.0000	0.0000	0.0000	0.0000	discard	6x MLP D8 (val_bpb worse)
